"id","data.list.id","title","created","url"
27272,597765,"Insurgents kill 35 in attack in northeast Nigeria: military",2013-08-23,"http://reliefweb.int/node/597765"
27492,597980,"Statement on Situation in Eastern Congo",2013-08-26,"http://reliefweb.int/node/597980"
27712,598576,"Ahmad, Palestinian refugee from Syria: “I feel we are double refugees”",2013-08-28,"http://reliefweb.int/node/598576"
27932,598756,"NE floods affect Sino-Russia border trade",2013-08-29,"http://reliefweb.int/node/598756"
28152,599241,"Troops deploy to restore order in protest-hit Colombia",2013-08-30,"http://reliefweb.int/node/599241"
28372,599353,"UNHCR statement on today's attack on Iraq's Camp Ashraf",2013-09-02,"http://reliefweb.int/node/599353"
28592,599960,"La situation de la sécurité alimentaire au Sahel reste précaire",2013-09-04,"http://reliefweb.int/node/599960"
28812,600316,"Helping wounded Syrians stand on their feet again",2013-09-05,"http://reliefweb.int/node/600316"
29032,600782,"Grands Lacs : pas d'impunité pour les auteurs de crimes graves, assure l'Envoyée spéciale Mary Robinson",2013-09-08,"http://reliefweb.int/node/600782"
29252,601155,"Aid, accountability, and institution-building in Ethiopia: A comparative analysis of donor practice",2013-09-10,"http://reliefweb.int/node/601155"
29472,601904,"Cruz Roja de Nicaragüense Boletín Informativo No.8",2013-09-12,"http://reliefweb.int/node/601904"
29692,602064,"Life On The Brink Of Hunger",2013-09-13,"http://reliefweb.int/node/602064"
29912,602536,"Une personne tuée par une bombe dans la capitale (police)",2013-09-16,"http://reliefweb.int/node/602536"
30132,602599,"Une religieuse congolaise devient la lauréate 2013 de la prestigieuse distinction Nansen pour les réfugiés",2013-09-17,"http://reliefweb.int/node/602599"
30352,603366,"Syria Refugee Response Lebanon: South and El Nabatieh Governorates Distribution of the Registered Syrian Refugees at the Cadastral Level (as of 29 August 2013)",2013-09-19,"http://reliefweb.int/node/603366"
30572,603918,"""Manuel"" deja 3 muertos y 5 mil damnificados en Michoacán",2013-09-20,"http://reliefweb.int/node/603918"
30792,604164,"Dungu: la vaccination contre la rougeole et la poliomyélite débute ce mardi",2013-09-23,"http://reliefweb.int/node/604164"
31012,604361,"Aid for flood-hit communities in eastern Chad",2013-09-24,"http://reliefweb.int/node/604361"
31232,604981,"Assistance Overdue: Ongoing Needs of Civilian Victims of Nepal’s Armed Conflict",2013-09-25,"http://reliefweb.int/node/604981"
31452,604838,"Informe de emergencia N° 452 – Movimiento sismico afecta los departamentos de Arequipa, Ica y Ayacucho",2013-09-26,"http://reliefweb.int/node/604838"
31672,605396,"Cruz Roja Mexicana entrega ayuda humanitaria en la comunidad Robles Catalán en Acapulco, Guerrero",2013-09-27,"http://reliefweb.int/node/605396"
31892,605780,"The ICRC in Nigeria",2013-09-30,"http://reliefweb.int/node/605780"
32112,605869,"El Coordinador Nacional de Protección Civil, Luis Felipe Puente Espinosa y el Subsecretario de Normatividad de Medios de la Secretaría de Gobernación y Vocero del Gabinete de Seguridad del Gobierno de la República, Eduardo Sánchez Hernández.",2013-10-01,"http://reliefweb.int/node/605869"
32332,606374,"02 Oct 2013: SE Asia – Floods and Severe Weather",2013-10-02,"http://reliefweb.int/node/606374"
32552,606670,"Typhoon Bopha survivor Marezmer: 9 months on",2013-10-03,"http://reliefweb.int/node/606670"
32772,607152,"Informe sobre el desarrollo mundial : Riesgo y oportunidad - La administración del riesgo como instrumento de desarrollo",2013-10-06,"http://reliefweb.int/node/607152"
32992,607677,"Pakistan's Swat Valley hit by dengue",2013-10-08,"http://reliefweb.int/node/607677"
33212,607825,"Fin de razzia à Bangassou pour le colonel Abdallah et ses 30 soudards",2013-10-09,"http://reliefweb.int/node/607825"
33432,608095,"Les Casques bleus brésiliens forment des citoyens aux premiers secours",2013-10-10,"http://reliefweb.int/node/608095"
33652,608712,"China starts emergency plans for Typhoon Nari",2013-10-13,"http://reliefweb.int/node/608712"
33872,609066,"UNICEF on Global Handwashing Day: A simple solution with far-reaching benefits – the power is in our hands",2013-10-15,"http://reliefweb.int/node/609066"
34092,609245,"Walk a Mile in a Burmese Midwife’s Shoes",2013-10-16,"http://reliefweb.int/node/609245"
34312,610072,"Awaran Earthquake Balochistan Situation Report - 22 (18 October 2013)",2013-10-18,"http://reliefweb.int/node/610072"
34532,610502,"Building resilience to food insecurity one bean at a time",2013-10-21,"http://reliefweb.int/node/610502"
34752,610581,"Maynilad provides clean water to earthquake victims in Bohol",2013-10-22,"http://reliefweb.int/node/610581"
34972,611155,"Red Crescent scales up efforts to curb polio in Somaliland",2013-10-24,"http://reliefweb.int/node/611155"
35192,611546,"Mortiers et mitrailleuses au Liban-nord: 6 morts en moins d'une semaine",2013-10-25,"http://reliefweb.int/node/611546"
35412,611948,"Central African Republic: Situation Report No. 29 (as of 25 October 2013)",2013-10-28,"http://reliefweb.int/node/611948"
35632,612317,"Mozambique forces overrun second ex-rebel base: presidency",2013-10-30,"http://reliefweb.int/node/612317"
35852,612969,"KOFF Newsletter No. 122 - Documenting Human Rights Violations",2013-11-01,"http://reliefweb.int/node/612969"
36072,613098,"Iraq UN Casualty Figures for October (2013)",2013-11-04,"http://reliefweb.int/node/613098"
36292,613483,"Lancement d’un programme d’urgence de la FAO au Bénin pour redémarrer la production agricole après les inondations",2013-11-05,"http://reliefweb.int/node/613483"
36512,614086,"Les mécanismes de financement de la MINUSTAH en Haïti",2013-11-07,"http://reliefweb.int/node/614086"
36732,614450,"ICRC evacuates 44 severely wounded people from Dammaj",2013-11-08,"http://reliefweb.int/node/614450"
36952,614895,"Statement of His Excellency Benigno S. Aquino III, President of the Philippines on Typhoon Yolanda",2013-11-11,"http://reliefweb.int/node/614895"
37172,615204,"Typhoon Haiyan: UK Government will match public donations",2013-11-12,"http://reliefweb.int/node/615204"
37392,615525,"WPRO Dengue Situation Update, 30 October 2013",2013-11-13,"http://reliefweb.int/node/615525"
37612,615802,"IOM Active at Typhoon Ground Zero",2013-11-14,"http://reliefweb.int/node/615802"
37832,616129,"Suspected rebels kill one in Mozambique highway ambush",2013-11-15,"http://reliefweb.int/node/616129"
38052,616447,"Declara la Secretaría de Gobernación emergencia para un municipio del estado de Quintana Roo",2013-11-18,"http://reliefweb.int/node/616447"
38272,617077,"Rapport de la mission d'evaluation conjointe: Camp de refugies de Kouankan II, Préfectures de Macenta, République de Guinée - Juin 2013",2013-11-19,"http://reliefweb.int/node/617077"
38492,617481,"Philippines: Damaged houses (as of 20 Nov 2013 18:00 UTC+8)",2013-11-20,"http://reliefweb.int/node/617481"
38712,617504,"Three die as Sudanese Air Force bombs car transferring woman in labour",2013-11-21,"http://reliefweb.int/node/617504"
38932,618001,"Syria Crisis: IOM Regional Response – NFI and Shelter Assistance (from January to 18 November 2013)",2013-11-22,"http://reliefweb.int/node/618001"
39152,618174,"Fears over election security in Mali rebel stronghold",2013-11-23,"http://reliefweb.int/node/618174"
39372,618391,"République Démocratique du Congo : Récapitulatif des besoins humanitaires 2014, Novembre 2013",2013-11-25,"http://reliefweb.int/node/618391"
39592,618686,"Déclaration à l’issue d’une mission des services du FMI en Haïti",2013-11-26,"http://reliefweb.int/node/618686"
39812,619295,"Mauritanie Bulletin des Prix Novembre 2013",2013-11-28,"http://reliefweb.int/node/619295"
40032,619607,"The Humanitarian Impact of Israeli Settlements in Hebron City | November 2013",2013-11-29,"http://reliefweb.int/node/619607"
40252,620082,"The fight against TB is not over",2013-12-02,"http://reliefweb.int/node/620082"
40472,620455,"'Human emergency' for refugees in Bulgaria: UNHCR",2013-12-03,"http://reliefweb.int/node/620455"
40692,620904,"Raising disaster risk reduction awareness at an early age",2013-12-04,"http://reliefweb.int/node/620904"
40912,621236,"Revue de Presse Humanitaire au Tchad du 22 novembre au 5 décembre 2013",2013-12-05,"http://reliefweb.int/node/621236"
41132,621580,"Timor-Leste offers $150,000 for school construction in Jonglei",2013-12-07,"http://reliefweb.int/node/621580"
41352,624411,"Bulletin d'Information Humanitaire - Province du Nord-Kivu No 42/13, 10 décembre 2013",2013-12-09,"http://reliefweb.int/node/624411"
41547,622233,"Arrêter les violences contre les patients et le personnel médical",2013-12-10,"http://reliefweb.int/node/622233"
41572,622016,"Humanitarian Implementation Plan (HIP) ECHO Flight (ECHO/FLI/BUD/2014/91000) Last update: 15/10/2013 Version 1 [EN/FR]",2013-12-10,"http://reliefweb.int/node/622016"
41767,622709,"Assessment Report: Typhoon Yolanda Response Philippines",2013-12-12,"http://reliefweb.int/node/622709"
41792,622642,"Desperate Syrians find little comfort in new homes",2013-12-12,"http://reliefweb.int/node/622642"
41987,622962,"Student researchers work for food security in Senegal",2013-12-13,"http://reliefweb.int/node/622962"
42012,623052,"Find the child, treat them early: message from Mali",2013-12-13,"http://reliefweb.int/node/623052"
42207,623427,"Hunger in Central Darfur camps",2013-12-16,"http://reliefweb.int/node/623427"
42232,623462,"Mali: Aperçu de la rentrée scolaire 2013-2014 au Nord",2013-12-16,"http://reliefweb.int/node/623462"
42427,623744,"Unity state women discuss peace building and security roles",2013-12-17,"http://reliefweb.int/node/623744"
42452,623884,"US/Yemen: Investigate Civilian Deaths from Airstrikes",2013-12-17,"http://reliefweb.int/node/623884"
42647,624332,"Marking of Firearms and Ammunition",2013-12-18,"http://reliefweb.int/node/624332"
42672,624362,"Des Centrafricains poussés par le désespoir risquent la traversée du fleuve vers la sécurité",2013-12-18,"http://reliefweb.int/node/624362"
42867,624654,"Wamba : plusieurs habitants hésitent de regagner leurs toits",2013-12-19,"http://reliefweb.int/node/624654"
42892,624684,"South Darfur camp residents refuse DRA request to return to their villages",2013-12-19,"http://reliefweb.int/node/624684"
43087,624776,"Deputy Chief of Mission of Japan inaugurates a water supply facility in Village Pepal Porian (Punjab) and Village Bissan Phatian Pona (Khyber Pakhtunkhwa), implemented with assistance from the Government of Japan",2013-12-20,"http://reliefweb.int/node/624776"
43112,624916,"WPRO Dengue Situation Update, 11 December 2013",2013-12-20,"http://reliefweb.int/node/624916"
43307,625401,"Asia Pacific Region: Weekly Regional Humanitarian Snapshot, 17-23 December, 2013",2013-12-23,"http://reliefweb.int/node/625401"
43332,625493,"World Events (as of 23 December 2013)",2013-12-23,"http://reliefweb.int/node/625493"
43527,625733,"Déclaration conjointe sur la mise en place de l’autorité nationale des élections",2013-12-25,"http://reliefweb.int/node/625733"
43552,625908,"Tamil council to count Sri Lanka war casualties",2013-12-26,"http://reliefweb.int/node/625908"
43747,626055,"35 provinces declared cold disaster zones",2013-12-27,"http://reliefweb.int/node/626055"
43772,626375,"Cochabamba registró 15 municipios afectados por las inundaciones",2013-12-27,"http://reliefweb.int/node/626375"
43967,626355,"Suicide Bomber Kills 16 at Russian Train Station",2013-12-30,"http://reliefweb.int/node/626355"
