"id","data.list.id","title","created","url","country"
24686,313096,"Sudan: Some rebels disarm, but no sign of olive branches - analysis",2009-06-12,"http://reliefweb.int/node/313096","All"
24906,321424,"Submission from the Internal Displacement Monitoring Centre to the Committee on the Elimination of Racial Discrimination in anticipation of consideration of the twentieth periodic report of the Philippines",2009-06-15,"http://reliefweb.int/node/321424","All"
25126,313695,"UN refugee chief cites pressing needs as those uprooted tops 42 million",2009-06-16,"http://reliefweb.int/node/313695","All"
25346,313962,"Working through the UN to tackle maternal mortality in Rwanda",2009-06-18,"http://reliefweb.int/node/313962","All"
25566,314158,"Panamá: Epidemia de Influenza A (H1N1) - Boletín informativo, 18 de junio de 2009",2009-06-18,"http://reliefweb.int/node/314158","All"
25786,317921,"United States provides water trucks to Pakistan military ",2009-06-20,"http://reliefweb.int/node/317921","All"
26006,594713,"Refugee testimonies",2009-06-22,"http://reliefweb.int/node/594713","All"
26226,314871,"Actualización: Nuevo virus Influenza A (H1N1) - Informe regional, 24 de junio de 2009",2009-06-24,"http://reliefweb.int/node/314871","All"
26446,314789,"Madagascar crisis drags on with no breakthrough in sight",2009-06-25,"http://reliefweb.int/node/314789","All"
26666,315501,"Zimbabwe: Daily cholera update and alerts, 26 Jun 2009",2009-06-26,"http://reliefweb.int/node/315501","All"
26886,315118,"China: Sichuan Earthquake Emergency appeal No. MDRCN003 Operations Update No. 23",2009-06-29,"http://reliefweb.int/node/315118","All"
27106,325930,"Niger : Suivi conjoint de la situation alimentaire et nutritionnelle dans les sites sentinelles vulnérables no. 5",2009-06-30,"http://reliefweb.int/node/325930","All"
27134,321348,"USAID/OTI Lebanon success story: Sewing seeds of opportuinty in Beqaa - Jun 2009",2009-06-30,"http://reliefweb.int/node/321348","All"
27326,24509,"Global Humanitarian Assistance 2009",2009-07-01,"http://reliefweb.int/node/24509","All"
27354,315772,"Commission decision of on the financing of humanitarian actions from the general budget of the European Communities in the Philippines (ECHO/PHL/BUD/2009/01000)",2009-07-01,"http://reliefweb.int/node/315772","All"
27574,316414,"Africa: U.S. wants to spotlight 'successful models' and be an 'effective parter' - Obama",2009-07-02,"http://reliefweb.int/node/316414","All"
27794,315919,"Irish team in Sudan to help free kidnapped aid staff",2009-07-05,"http://reliefweb.int/node/315919","All"
28014,320239,"Peace, reconciliation, and displacement",2009-07-07,"http://reliefweb.int/node/320239","All"
28234,316256,"Violence against Afghan women, including rape, widespread and unpunished, says United Nations",2009-07-08,"http://reliefweb.int/node/316256","All"
28454,316557,"Haïti/Éducation : Vers la reconstruction d'une vingtaine d'écoles endommagées par les ouragans de 2008",2009-07-09,"http://reliefweb.int/node/316557","All"
28674,316864,"Aboul Gheit and Hoshiar Zibari sign an understanding memorandum on Egyptian-Iraqi bilateral cooperation and strategic dialogue ",2009-07-11,"http://reliefweb.int/node/316864","All"
28894,317131,"Inquiry urged after Sudan women flogged for trousers",2009-07-14,"http://reliefweb.int/node/317131","All"
29114,317064,"Centrafrican rebel groups join disarmament process",2009-07-15,"http://reliefweb.int/node/317064","All"
29334,317578,"Iraqi crisis report: High stakes in Kurdish poll",2009-07-17,"http://reliefweb.int/node/317578","All"
29554,317284,"RD Congo/Nord-Katanga : Manono sera bientôt doté d'un nouvel hôpital",2009-07-17,"http://reliefweb.int/node/317284","All"
29774,317606,"Ban Ki-moon est gravement préocuppé par la recrudescence de la violence dans l'ouest-Darfour et le long de la frontière entre le Tchad et le Soudan",2009-07-20,"http://reliefweb.int/node/317606","All"
29994,318266,"Pakistan's displaced fearful of going home",2009-07-22,"http://reliefweb.int/node/318266","All"
30214,318086,"Why should mediators consider the economic dimensions of conflicts?",2009-07-23,"http://reliefweb.int/node/318086","All"
30434,318261,"Afghanistan: Improved medical care facilities for Tarin Kowt Hospital",2009-07-25,"http://reliefweb.int/node/318261","All"
30654,318547,"DRCongo cuts Radio France signal",2009-07-27,"http://reliefweb.int/node/318547","All"
30874,318626,"Torrential rains leave 66 dead, 66 missing in south China",2009-07-29,"http://reliefweb.int/node/318626","All"
31094,318731,"Indonesia: Toilets and tap stands change lives in Nias",2009-07-30,"http://reliefweb.int/node/318731","All"
31314,330995,"Perspectives de récoltes et situation alimentaire, juillet 2009",2009-07-31,"http://reliefweb.int/node/330995","All"
